name,pname,wgs84_lon,wgs84_lat
Shayukou Reservoir,Beijing,116.4773670688967,40.287233414663724
Suyukou Reservoir,Beijing,116.52160627750061,40.29978402782661
Heishan Reservoir,Beijing,116.5347459401906,40.288757624768714
Nanzhuang Reservoir,Beijing,116.3679518154247,40.21850637037013
Huairou Reservoir,Beijing,116.5872011446612,40.30843846
Shahe Reservoir,Beijing,116.29751133533543,40.136151913672755
Huanghuacheng Reservoir,Beijing,116.34085757333096,40.41943386989566
Xizhuang Reservoir,Beijing,116.67835027341836,40.38505330642409
Beitaishang Reservoir,Beijing,116.66939121575574,40.39764098021617
Deshengkou Reservoir,Beijing,116.17825171381051,40.303460171481774
Zhuijiuyu Reservoir,Beijing,116.18378039271036,40.368273923797325
Shangzhuang Reservoir,Beijing,116.19835192919196,40.10566072354483
Tangzhishan Reservoir,Beijing,116.79601508610868,40.276078812230935
Dashuiyu Reservoir,Beijing,116.67416983418475,40.458267263455795
Xiangtian Reservoir,Beijing,116.0888168603214,40.25043848186841
Xiaoshuiyu Reservoir,Beijing,116.72157643015868,40.46145160908773
Hanshiqiao Reservoir,Beijing,116.8008647811753,40.12043955446625
Xinglongkou Reservoir,Beijing,116.04648426302188,40.22021659358003
Baita Reservoir,Beijing,116.08740926308867,40.10619141337614
Lianhuan Reservoir,Beijing,116.1582430009516,40.0242052232226
Zhuanshanzi Reservoir,Beijing,116.91686421896843,40.58544116247469
Xiyu Reservoir,Beijing,117.09396554717105,40.31622064235832
Beijing Phoenix Ridge Nature Park - Baita Reservoir,Beijing,116.50886056100404,40.771876837856645
Shangbanquan Reservoir,Beijing,115.86659897179382,40.51685475794572
Xiaoliang Reservoir,Beijing,116.65697254540447,40.769334692843906
Zhuanghuyu Reservoir,Beijing,117.14442041359408,40.408445995863765
Lizhenzhai Reservoir,Beijing,117.02976159100409,40.58456183108335
Chongqing Reservoir,Beijing,116.07501360822314,39.792658255296075
Zhuwuo Reservoir,Beijing,115.77869126608654,40.07696830014314
Zhuwuo Reservoir (duplicate),Beijing,115.78324495836227,40.06016007482747
Qinglong Lake Reservoir,Beijing,116.06810863951279,39.78439133273898
Niantan Reservoir,Beijing,116.30501515940475,39.70403319664269
Banchengzi Reservoir,Beijing,117.01209408226553,40.62705143082762
Heiquan Reservoir,Beijing,116.96472548637789,40.672077455676984
Pinggu Yangjiatai Reservoir,Beijing,117.20993703782008,40.333861362181054
Xituogu Reservoir,Beijing,116.96071870554488,40.69668609438306
Huangsongyu Reservoir,Beijing,117.24594294650798,40.24470855887183
Xigou Reservoir,Beijing,116.68395017931961,40.841260585755904
Heizhai Reservoir,Beijing,116.03366297672407,40.21031734992685
Changjiang Reservoir,Beijing,116.053141819261,40.109862427910095
Gaobeidian Reservoir,Beijing,116.51751388802099,39.90630507844141
Caijiawa Small Reservoir,Beijing,116.90126806155072,40.355253284000604
Nanmachang Reservoir,Beijing,116.16774596163184,39.97572601417564
Lala Lake Reservoir,Beijing,116.15172726722786,39.96611181088988
Magou Reservoir,Beijing,116.15040775540677,39.96537448374475
Langeryu Reservoir,Beijing,115.99568135068691,40.11052010426018
Sanjiadian Reservoir,Beijing,116.08946150182042,39.9688885290259
Miyun Reservoir,Beijing,116.907898245413,40.51633433498577
Weidian Reservoir,Beijing,115.97033148015613,40.03256768339254
Baihe Reservoir,Beijing,116.24282115483331,40.65907663352616
Gaotai Reservoir,Beijing,115.91976187789113,40.08834547168487
Luopoling Reservoir,Beijing,115.99036445486004,39.98629345492575
Baihebao Reservoir,Beijing,116.16668224396811,40.64445190052707
Baihebao Reservoir Viewing Platform,Beijing,116.176820885431,40.65208668378094
Shachang Reservoir,Beijing,117.03132023708588,40.39328189777351
Longqingxia Reservoir,Beijing,115.99252099727401,40.549775293714475
Daning Reservoir,Beijing,116.21546700794539,39.823323504072256
Xiyu Reservoir East Canal,Beijing,117.0883410629754,40.30869673704112
Miyun Tianzhuang Reservoir,Beijing,117.06779026335347,40.65819435781569
Mangniugou Reservoir,Beijing,116.880589797613,40.78031792887543
Shangtaizi Reservoir,Beijing,116.6133108864202,40.86039762003274
Dingjiawa Reservoir,Beijing,115.99660714958813,39.72164901138731
Dadi Reservoir,Beijing,116.73874301320191,40.867806508629734
Erdaoshimen Reservoir,Beijing,116.73848614992197,40.86822122210053
Zhaitang Reservoir,Beijing,115.66918352813238,39.96194070150367
Niukouyu Reservoir,Beijing,115.95938694146274,39.69617543525162
Simatai Reservoir,Beijing,117.27480564168997,40.660417604004856
Gubei Water Town Yuanyang Lake Reservoir,Beijing,117.27461500509624,40.66040782701473
Xiayunling Reservoir,Beijing,115.74457736359724,39.727866135437964
Tiankai Reservoir,Beijing,115.87371154485261,39.62923466232277
Longmenkou Reservoir,Beijing,115.89577166620033,39.61229922433023
Jinqiaoyu Reservoir,Beijing,117.3856357189414,40.63555830872833
Yaoqiaoyu Reservoir,Beijing,117.38563871608415,40.635561305504524
Xitaiping Reservoir,Beijing,115.53103578281842,39.731039815412714
Ming Tombs Reservoir,Beijing,116.25528977091105,40.26339841992298
